promoters,thresholds,>entrezgene:10613,>entrezgene:10613,>entrezgene:10613,>entrezgene:10613,>entrezgene:10613,>entrezgene:10613,>entrezgene:1147,>entrezgene:1244,>entrezgene:1244,>entrezgene:1244,>entrezgene:1244,>entrezgene:1244,>entrezgene:1244,>entrezgene:1355,>entrezgene:1369,>entrezgene:1369,>entrezgene:1369,>entrezgene:159296,>entrezgene:159296,>entrezgene:159296,>entrezgene:23268,>entrezgene:23268,>entrezgene:23268,>entrezgene:23268,>entrezgene:23268,>entrezgene:23268,>entrezgene:23268,>entrezgene:23268,>entrezgene:23268,>entrezgene:26507,>entrezgene:26507,>entrezgene:26507,>entrezgene:2805,>entrezgene:2805,>entrezgene:3257,>entrezgene:51076,>entrezgene:57089,>entrezgene:60495,>entrezgene:60495,>entrezgene:60495,>entrezgene:60495,>entrezgene:60495,>entrezgene:81894,>entrezgene:81894,>entrezgene:81894,>entrezgene:84171,>entrezgene:84795
AIRE_f2,4.7783,0,-2.034598115631884,-0.3927696648496223,-4.586438004403849,1.0375325960834196,0,4.232188816072042,1.7803399367064228,-4.499438203574242,-2.7060454959199167,-0.3719738611355144,0.5946855021439257,0,1.9848141580355314,2.2746469559162374,-8.982914657719258,4.1391676288111094,-1.433277785741008,0,0,2.7241854438477544,0,-0.22597622011925061,0,0,-0.0488864081582977,-1.9209641042534145,0,3.0065794152527734,-2.637318057065946,-0.6909287922353946,0,0.7146649765948687,0,1.6016961345778853,1.4486601829580366,6.054696704994822,3.7185341992869927,0,0,0,0,2.8481387017670663,0,0.3338789598549339,0,1.3878708058324978
ALX1_si,4.1062,-0.583081777676945,0.3775482735087714,-3.8606729020522774,-2.804440267439336,-3.5013565101947055,-9.97166923993376,-1.2035546973398141,0.03615438347770783,-0.34418294388822424,-0.0033628833828031057,1.2028039515756825,5.567272668860721,0,-1.2547904976774042,0.8350843743232079,-4.706613936768194,3.3395821760121907,-0.6707217832433531,0,0,-0.7839284832923669,0,0.9446358066869535,0,0,-0.15251529254395146,1.5986874507006306,0,-1.2046748575957031,-1.3852572419610123,1.6331131565663197,0,0.35896952291678136,0,-0.7960748739273926,2.1130037976381475,0.13356098712365005,-1.8804305379667299,-8.568256162245605,-7.404354994264597,-7.615959968055069,0,-1.860067869556308,-4.322129854856102,-1.7244190538169024,-8.599525130155953,1.5137125871595736
ANDR_do,4.9253,0,-3.675627801469292,0.33167926543959936,-3.0851060797062533,-0.118632661388968,0,-0.04305967161059765,-1.9670286934750791,-6.73307417050626,-5.632786208540884,4.1097005335650625,-5.937838756354772,0,4.835208961201834,-3.671427180185046,-4.2433990816484375,-2.342664004965263,-0.3219806947882823,0,0,8.426050433735853,0,-0.1625426191211341,0,0,1.1875768261420363,-5.714973910470305,0,3.878250275492161,1.11457053211981,3.189598492719374,0,3.07431524061161,0,4.40386354612006,2.9449550941074314,5.739044754208049,2.608396122975523,0,0,0,0,1.9700355059365482,0,1.0782247805440612,-8.04996509607542,3.463281908737798
AP2A_f2,5.8004,-10.458585941840887,-5.067886558667166,6.477083120098961,-2.0406465060464547,2.516558714061924,4.349069257844743,3.0276957156784263,-3.113394554661476,-5.422875955138663,-5.324159475793731,-0.24175486729998052,-9.65055316898863,0,4.440702149728784,-2.8686041005489207,-2.5130746632159386,-2.221834590407286,5.610087174716603,-0.7393991329317848,-1.2156847422928043,10.151295497321534,-6.382484428138182,0.0016477496401661185,0,-10.94397664738875,-1.986014961790008,-5.124149042313456,-7.660611960955689,6.129272370492784,1.9305891744828039,1.389732985091693,-9.91658690875953,9.092228519092647,0,6.660554141987245,4.746391809917344,8.74441776948647,-1.305334570782966,-0.592391891912633,1.6090605050662745,-8.124414409802991,-5.4026505594784915,10.544607601491371,3.238633353793793,6.6666623846945345,-1.0979129342420215,7.21382844174311
AP2B_f1,6.0626,-6.517928802298272,-1.8434938637887173,9.340205557401331,-1.8500523616840943,3.83426567687249,1.198777924560172,4.206201161675422,-4.02957607435487,-4.892132762032483,-2.388007374080387,-0.6773366696371568,-4.399742874505281,0,4.685956673753094,-1.1203628617884491,-0.1970121518840593,0.5791759575817135,5.431424552922148,-6.289133894597485,0.46101892412452283,8.112729194351644,-2.899413127172961,1.982855727552201,0,0,2.706747753954376,-0.7882273077569178,-7.96360930836148,7.898492582606722,2.661221138598981,2.169323397965177,0,10.143365732561643,0,7.446633113195628,5.926656114426017,9.615849128631773,0.38734859466916527,-0.6629949320644624,2.7125578312371585,-8.909524492242621,-6.698042994154623,9.61288075300761,4.529221906377551,9.056839245745447,1.1235718431496253,5.329039751530533
AP2C_f1,5.1847,-11.093379884103989,-8.026346217122986,6.694951009537602,-7.236038868012063,-0.4234082077688681,3.321255513460742,4.328629605395631,-5.829797537937988,-7.947080017803554,-10.91906528779855,-3.727297707139747,-10.379820136417653,0,4.772815596703129,-6.512467320756539,-4.130337780877454,-3.157546272256095,5.172439328994171,-2.8766608750128606,-2.9470380441839463,10.154177636915442,-11.822189883607143,-2.2201341271568813,0,-13.53419456522041,-2.4580547955064835,-6.174896077874518,-9.976900312726503,4.209516339074503,-1.4067799495435256,1.6954279020324914,-14.470324869736652,9.595698723317321,0,8.193075967548783,4.022784571637991,9.14332305841118,-2.771954473646355,-1.1941483874778394,1.5482681607064555,-9.484228962677145,-9.032461556388249,10.60111603415037,0.8371164969281142,8.193075967548783,-4.790876307651044,7.3725431894568505
AP2D_f1,6.1136,0,-1.4954561424027264,6.577033907343309,0.30170815008370777,5.363959208698449,0,6.243492296253328,-2.155065667114955,-6.28051607049658,-5.149189508361062,-0.6688795137187189,-5.51881808871985,0,5.828318271046061,-0.9878904385301528,0.5306820696699526,-0.8384346634512487,3.495204774021492,0,0,4.147301432639004,0,2.786780531217641,0,0,0.04043039412385442,-6.393358647658695,0,6.1230468138461065,2.4193473339031986,3.7726059595339425,0,9.295529127657854,0,7.751616339636964,8.425847848810422,8.024566366405715,0.742053071645139,0,0,0,0,9.235887425877358,-1.860517901293751,7.705992196188981,4.5603288833678475,7.338522819528394
ARI3A_do,1.815,0,-5.920266729164856,-14.887297827069409,0,-12.56771822026606,0,-10.641176003622654,-14.74736482139939,0,0,-0.994834887794539,0.7000368016750841,0,-6.06102320988484,-1.2905109568961348,0,-0.7066508021579718,-16.300070291843756,0,0,-4.939679709001243,0,-7.2499628428116445,0,0,-5.656041178235222,0,0,-7.523377868937871,-5.0195554254566295,-7.556151754626712,0,-10.743720928312607,0,-10.277482372657804,-5.361204545193912,-7.585967883123191,-8.08593629235554,0,0,0,0,-11.65745625233299,0,-12.333582478327955,0,-3.12250947718205
ARI3A_f1,3.8083,2.32757178400581,-1.4314288054581463,-0.4851650596679551,-1.9653052244417293,-4.2441656491319115,-7.044145204491576,-4.062139455103413,3.2738355297960013,1.9539961392101108,7.032836119259958,3.2738355297960013,4.427851134324682,-7.82114004456737,0.048711359315627645,0.048711359315627645,0.048711359315627645,3.273835529796001,-5.564005039717802,-5.3819788456893045,-3.710289230148329,-1.805004450253846,-4.2441656491319115,-0.485165059667955,-5.724305813905685,-1.6100098798294569,0.0487113593156282,3.807711948779584,-0.4851650596679551,-3.710289230148329,0.2307375533441256,-5.186984275264916,-7.821140044567369,-1.805004450253846,0,-4.062139455103414,0.04871135931562798,0.048711359315627645,-0.4851650596679551,-4.2441656491319115,-5.3819788456893045,2.32757178400581,-7.469289819612285,-5.3819788456893045,-8.003166238595867,-4.2441656491319115,-7.82114004456737,-1.6100098798294566
ARI5B_f1,4.855,0,0.9836074383678408,0.435359437352696,0.26142549977245955,4.155504713254538,0,2.106801771220828,0.9294516271103612,-1.2394171789194681,-1.6129891783950852,3.6883200329267747,2.1655474301469333,0,3.2775253626086194,2.7136695342248416,-0.7161100990736118,1.2080396328386882,1.9964718963016828,0,0,3.4112192192219197,0,1.8766088756628416,0,0,1.7540625055406065,3.219287331945924,0,3.3888323461369994,1.6695601431736167,3.139217754342213,0,1.6361560587266928,0,2.9475967530808607,4.07768492578859,4.609132172328818,1.7264973511764534,0,0,0,0,2.825077786427682,-1.0714466146774733,3.1510004752561933,-2.3825183323218635,3.2023630406927666
ARNT2_si,5.8436,-6.3554237531185205,-2.2521838579369695,2.754637616419039,1.2772135147094614,6.781244374573033,0.10444169836566841,4.276445536069495,-0.7279212464266129,-2.0362087697051194,-3.71111140744287,3.139709538546157,-3.1593064001707423,0,6.389008681670849,1.226274298089565,3.4206240496878184,1.5189535249240158,1.3891443148303853,0,0,4.549022542727666,0,2.783566342695525,0,0,1.0201204766163339,-0.2488041987476527,0,8.178947637442567,2.778316521033743,1.9265921862942097,0,7.669925743692418,0,5.791821312723278,6.340416949039529,5.767421485253307,2.203421803494929,-2.8921192874228305,-1.2015743098620546,-4.867436661561018,0,3.7164205356831097,0.9076215392943989,2.832186456039066,4.563410730715062,6.999027280459316
